"player_name","max_release_speed","percentage_above_95","Days_missed","average_spin_rate","average_velo"
"Abbott, Andrew",95.8,97.9582577132486,41,NA,92.7603448275862
"Alcantara, Sandy",101.5,85.5786709755605,213,NA,97.7163401333064
"Alexander, Tyler",93,53.8699690402477,45,2244.5701017249,87.9612118531623
"Allard, Kolby",94.1,62.4928856004553,93,NA,89.3895276038702
"Allen, Logan",94.1,78.2510194834617,NA,NA,90.2217489805165
"Anderson, Chase",96.1,54.6743697478992,115,NA,91.1209558823529
"Anderson, Ian",97.3,97.3718791064389,47,NA,94.2708716600964
"Ashcraft, Graham",101.5,44.6081156197888,134,NA,96.2505558643691
"Assad, Javier",95.6,53.0839895013123,19,2002.00459317585,90.7029199475066
"Bassitt, Chris",96.6,55.7156696536692,7,NA,91.5562848147251
"Bauer, Trevor",97.7,50.9706321553011,NA,NA,91.0948232951717
"Bello, Brayan",99.4,82.74158690954,62,2052.74374807039,95.488020994134
"Berríos, José",98,76.5276571097596,NA,NA,93.8706631914277
"Bibee, Tanner",99,47.3170731707317,0,NA,91.4379674796748
"Bieber, Shane",96.3,43.6818632309217,354,NA,90.5644449950446
"Blackburn, Paul",94.8,65.0858306662787,236,NA,90.4278731451847
"Boyd, Matthew",94.9,89.6281800391389,270,NA,91.6850782778865
"Bradish, Kyle",98.6,80.4829770387965,198,NA,94.688242280285
"Bradley, Taj",100.1,53.9056742815033,44,NA,94.0074428887251
"Brown, Hunter",99.5,60.8585858585859,NA,NA,94.7208838383838
"Brubaker, JT",98.5,36.3452188006483,215,2249.73622366289,93.1766612641815
"Bubic, Kris",96.9,34.8716040193524,100,NA,91.4339039821362
"Buehler, Walker",100.8,28.2535885167464,248,NA,94.3821291866029
"Bumgarner, Madison",94.7,32.1205098493627,69,NA,88.3774044032445
"Bundy, Dylan",95.1,37.1753986332574,11,NA,89.8389521640091
"Burnes, Corbin",99.8,57.5386597938144,17,NA,95.1059278350515
"Cabrera, Edward",99.6,91.2039582188015,171,NA,96.2416712479384
"Canning, Griffin",97.3,79.7413793103448,216,NA,93.2991738505747
"Carrasco, Carlos",96.5,75.233918128655,230,NA,92.5959064327485
"Castillo, Luis",100.7,74.192256341789,56,NA,96.5143257676903
"Cease, Dylan",100.4,82.3402130492676,2,NA,96.5306757656458
"Civale, Aaron",95.2,45.7010582010582,210,NA,89.732457010582
"Clevinger, Mike",98.4,55.2525252525253,243,2312.75858585859,92.5970033670034
"Cobb, Alex",97.1,88.8922888616891,289,NA,93.9420134638923
"Cole, Gerrit",101.9,53.9374638100753,96,NA,96.6148957730168
"Corbin, Patrick",96.1,67.0763706670349,4,NA,91.5175252037011
"Cortes, Nestor",95.6,45.2849921561792,138,NA,89.8748300505491
"Crawford, Kutter",97.1,41.4376321353066,50,NA,90.731289640592
"Crochet, Garrett",100.4,62.029702970297,341,NA,95.2763861386139
"Cueto, Johnny",95.6,62.3839907192575,182,NA,90.9232598607889
"Darvish, Yu",98.4,70.8515564702856,135,2420.53151530744,94.1260869565217
"Davies, Zach",93.2,49.8898678414097,122,NA,88.6127092511013
"Detmers, Reid",97.7,76.9358590893985,29,NA,93.7313725490196
